id,message_id,campaign_id,message_type,client_id,channel,category,platform,email_provider,stream,date,sent_at,is_opened,opened_first_time_at,opened_last_time_at,is_clicked,clicked_first_time_at,clicked_last_time_at,is_unsubscribed,unsubscribed_at,is_hard_bounced,hard_bounced_at,is_soft_bounced,soft_bounced_at,is_complained,complained_at,is_blocked,blocked_at,is_purchased,purchased_at,created_at,updated_at
60943851,1515915625503457329-60c1de82e8bb1,366,bulk,1515915625503457329,email,,desktop,gmail.com,desktop,2021-06-10,2021-06-10 09:42:27,t,2021-06-14 16:17:32,2021-06-14 16:17:32,f,,,f,,f,,f,,f,,f,,f,,2023-04-29 05:35:13.077507,2023-04-29 05:43:52.064292
56720997,1515915625504957050-609b87ef36659,111,bulk,1515915625504957050,mobile_push,,,,desktop,2021-05-12,2021-05-12 07:46:55,f,,,f,,,f,,f,,f,,f,,f,,f,,2023-04-29 03:29:02.495801,2023-04-29 03:29:02.496212
55237276,1515915625547178596-6093b5218caf8,79,bulk,1515915625547178596,mobile_push,,,,desktop,2021-05-06,2021-05-06 09:21:37,f,,,f,,,f,,f,,f,,f,,f,,f,,2023-04-29 02:51:07.147102,2023-04-29 02:51:07.147727
54866416,1515915625598796051-608bbe1948e30,64,bulk,1515915625598796051,mobile_push,,,,desktop,2021-04-30,2021-04-30 08:21:45,f,,,f,,,f,,f,,f,,f,,f,,f,,2023-04-29 02:40:38.478023,2023-04-29 02:40:38.478958
59185086,1515915625488448486-60af530e0a005,230,bulk,1515915625488448486,email,,,mail.ru,desktop,2021-05-27,2021-05-27 08:06:38,f,,,f,,,f,,f,,f,,f,,f,,f,,2023-04-29 04:38:55.96173,2023-04-29 04:38:55.962644
19224678,0385d431-bc18-449a-b306-d122a186dab8,18011,trigger,1515915625489841612,email,,,mail.ru,desktop,2021-05-24,2021-05-24 05:10:28,f,,,f,,,f,,f,,f,,f,,f,,f,,2023-04-27 20:10:09.811479,2023-04-27 20:10:09.812005
55046479,1515915625636447919-608bc7f30da16,64,bulk,1515915625636447919,mobile_push,,,,desktop,2021-04-30,2021-04-30 09:03:47,f,,,f,,,f,,f,,f,,f,,f,,f,,2023-04-29 02:45:36.262037,2023-04-29 02:45:36.262612
54981001,1515915625632786480-608bc5a6ea0ff,64,bulk,1515915625632786480,mobile_push,,,,desktop,2021-04-30,2021-04-30 08:53:59,f,,,f,,,t,2021-04-30 08:53:59,f,,f,,f,,f,,f,,2023-04-29 02:43:46.592398,2023-04-29 02:43:46.594358
54151164,1515915625580673212-608bbd329adad,64,bulk,1515915625580673212,mobile_push,,,,desktop,2021-04-30,2021-04-30 08:17:54,f,,,f,,,f,,f,,f,,f,,f,,f,,2023-04-29 02:22:15.198776,2023-04-29 02:22:15.199351
56296479,1515915625613386729-609b8c8d627b3,111,bulk,1515915625613386729,mobile_push,,,,desktop,2021-05-12,2021-05-12 08:06:37,f,,,f,,,f,,f,,f,,f,,f,,f,,2023-04-29 03:19:22.370699,2023-04-29 03:19:22.371262
57713292,1515915625490663946-60a61e8611434,143,bulk,1515915625490663946,email,,,mail.ru,desktop,2021-05-20,2021-05-20 08:32:18,f,,,f,,,f,,f,,f,,f,,f,,f,,2023-04-29 03:54:26.677079,2023-04-29 03:54:26.677616
56820016,1515915625571658941-609b8a4e62eb4,111,bulk,1515915625571658941,mobile_push,,,,desktop,2021-05-12,2021-05-12 07:57:02,f,,,f,,,f,,f,,f,,f,,f,,f,,2023-04-29 03:31:16.79018,2023-04-29 03:31:16.790807
